Distance_from_border,ln_effect_size,remaining_biomass,removed_biomass,removed_average,Area,Ratio,removed_biomass_total
41500,0,1,0,0,2711822779,86320,
41600,0,1,0,0,2724891804,86736,
41700,0,1,0,0,2737992245,87153,
41800,0,1,0,0,2751124103,87571,
41900,0,1,0,0,2764287376,87990,
42000,0,1,0,0,2777482065,88410,
42100,0,1,0,0,2790708170,88831,
42200,0,1,0,0,2803965691,89253,
42300,0,1,0,0,2817254628,89676,
42400,0,1,0,0,2830574981,90100,
42500,0,1,0,0,2843926750,90525,
42600,0,1,0,0,2857309934,90951,
42700,0,1,0,0,2870724535,91378,
42800,0,1,0,0,2884170552,91806,
42900,0,1,0,0,2897647984,92235,
43000,0,1,0,0,2911156832,92665,
43100,0,1,0,0,2924697097,93096,
43200,0,1,0,0,2938268777,93528,
43300,0,1,0,0,2951871873,93961,
43400,0,1,0,0,2965506385,94395,
43500,0,1,0,0,2979172313,94830,
43600,0,1,0,0,2992869657,95266,
43700,0,1,0,0,3006598417,95703,
43800,0,1,0,0,3020358593,96141,
43900,0,1,0,0,3034150185,96580,
44000,0,1,0,0,3047973193,97020,
44100,0,1,0,0,3061827616,97461,
44200,0,1,0,0,3075713456,97903,
44300,0,1,0,0,3089630711,98346,
44400,0,1,0,0,3103579382,98790,
44500,0,1,0,0,3117559470,99235,
44600,0,1,0,0,3131570973,99681,
44700,0,1,0,0,3145613892,100128,
44800,0,1,0,0,3159688227,100576,
44900,0,1,0,0,3173793978,101025,
45000,0,1,0,0,3187931145,101475,
45100,0,1,0,0,3202099728,101926,
45200,0,1,0,0,3216299727,102378,
45300,0,1,0,0,3230531142,102831,
45400,0,1,0,0,3244793972,103285,
45500,0,1,0,0,3259088219,103740,
45600,0,1,0,0,3273413881,104196,
45700,0,1,0,0,3287770960,104653,
45800,0,1,0,0,3302159454,105111,
45900,0,1,0,0,3316579364,105570,
46000,0,1,0,0,3331030691,106030,
46100,0,1,0,0,3345513433,106491,
46200,0,1,0,0,3360027591,106953,
46300,0,1,0,0,3374573165,107416,
46400,0,1,0,0,3389150155,107880,
46500,0,1,0,0,3403758561,108345,
46600,0,1,0,0,3418398382,108811,
46700,0,1,0,0,3433069620,109278,
46800,0,1,0,0,3447772274,109746,
46900,0,1,0,0,3462506343,110215,
47000,0,1,0,0,3477271829,110685,
47100,0,1,0,0,3492068730,111156,
47200,0,1,0,0,3506897047,111628,
47300,0,1,0,0,3521756781,112101,
47400,0,1,0,0,3536647930,112575,
47500,0,1,0,0,3551570495,113050,
47600,0,1,0,0,3566524476,113526,
47700,0,1,0,0,3581509873,114003,
47800,0,1,0,0,3596526686,114481,
47900,0,1,0,0,3611574915,114960,
48000,0,1,0,0,3626654559,115440,
48100,0,1,0,0,3641765620,115921,
48200,0,1,0,0,3656908097,116403,
48300,0,1,0,0,3672081989,116886,
48400,0,1,0,0,3687287298,117370,
48500,0,1,0,0,3702524022,117855,
48600,0,1,0,0,3717792162,118341,
48700,0,1,0,0,3733091718,118828,
48800,0,1,0,0,3748422691,119316,
48900,0,1,0,0,3763785079,119805,
49000,0,1,0,0,3779178883,120295,
49100,0,1,0,0,3794604103,120786,
49200,0,1,0,0,3810060738,121278,
49300,0,1,0,0,3825548790,121771,
49400,0,1,0,0,3841068258,122265,
49500,0,1,0,0,3856619142,122760,
49600,0,1,0,0,3872201441,123256,
49700,0,1,0,0,3887815157,123753,
49800,0,1,0,0,3903460288,124251,
49900,0,1,0,0,3919136835,124750,
50000,0,1,0,0,3934844799,125250,
50100,0,1,0,0,3950584178,125751,
50200,0,1,0,0,3966354973,126253,
50300,0,1,0,0,3982157184,126756,
50400,0,1,0,0,3997990811,127260,
50500,0,1,0,0,4013855854,127765,
50600,0,1,0,0,4029752313,128271,
50700,0,1,0,0,4045680187,128778,
50800,0,1,0,0,4061639478,129286,
50900,0,1,0,0,4077630185,129795,
51000,0,1,0,0,4093652307,130305,
51100,0,1,0,0,4109705846,130816,
51200,0,1,0,0,4125790800,131328,
51300,0,1,0,0,4141907170,131841,
51400,0,1,0,0,4158054957,132355,
51500,0,1,0,0,4174234159,132870,
51600,0,1,0,0,4190444777,133386,
51700,0,1,0,0,4206686811,133903,
51800,0,1,0,0,4222960261,134421,
51900,0,1,0,0,4239265127,134940,
52000,0,1,0,0,4255601409,135460,
52100,0,1,0,0,4271969106,135981,
52200,0,1,0,0,4288368220,136503,
52300,0,1,0,0,4304798750,137026,
52400,0,1,0,0,4321260695,137550,
52500,0,1,0,0,4337754056,138075,
52600,0,1,0,0,4354278834,138601,
52700,0,1,0,0,4370835027,139128,
52800,0,1,0,0,4387422636,139656,
52900,0,1,0,0,4404041661,140185,
53000,0,1,0,0,4420692102,140715,
53100,0,1,0,0,4437373959,141246,
53200,0,1,0,0,4454087232,141778,
53300,0,1,0,0,4470831921,142311,
53400,0,1,0,0,4487608026,142845,
53500,0,1,0,0,4504415547,143380,
53600,0,1,0,0,4521254483,143916,
53700,0,1,0,0,4538124836,144453,
53800,0,1,0,0,4555026604,144991,
53900,0,1,0,0,4571959789,145530,
54000,0,1,0,0,4588924389,146070,
54100,0,1,0,0,4605920405,146611,
54200,0,1,0,0,4622947838,147153,
54300,0,1,0,0,4640006686,147696,
54400,0,1,0,0,4657096950,148240,
54500,0,1,0,0,4674218630,148785,
54600,0,1,0,0,4691371726,149331,
54700,0,1,0,0,4708556237,149878,
54800,0,1,0,0,4725772165,150426,
54900,0,1,0,0,4743019509,150975,
55000,0,1,0,0,4760298268,151525,
55100,0,1,0,0,4777608444,152076,
55200,0,1,0,0,4794950035,152628,
55300,0,1,0,0,4812323043,153181,
55400,0,1,0,0,4829727466,153735,
55500,0,1,0,0,4847163305,154290,
55600,0,1,0,0,4864630560,154846,
55700,0,1,0,0,4882129231,155403,
55800,0,1,0,0,4899659318,155961,
55900,0,1,0,0,4917220821,156520,
56000,0,1,0,0,4934813740,157080,
56100,0,1,0,0,4952438075,157641,
56200,0,1,0,0,4970093826,158203,
56300,0,1,0,0,4987780992,158766,
56400,0,1,0,0,5005499575,159330,
56500,0,1,0,0,5023249573,159895,
56600,0,1,0,0,5041030988,160461,
56700,0,1,0,0,5058843818,161028,
56800,0,1,0,0,5076688064,161596,
56900,0,1,0,0,5094563727,162165,
57000,0,1,0,0,5112470805,162735,
57100,0,1,0,0,5130409299,163306,
57200,0,1,0,0,5148379209,163878,
57300,0,1,0,0,5166380535,164451,
57400,0,1,0,0,5184413277,165025,
57500,0,1,0,0,5202477434,165600,
57600,0,1,0,0,5220573008,166176,
57700,0,1,0,0,5238699998,166753,
57800,0,1,0,0,5256858403,167331,
57900,0,1,0,0,5275048225,167910,
58000,0,1,0,0,5293269462,168490,
58100,0,1,0,0,5311522115,169071,
58200,0,1,0,0,5329806185,169653,
58300,0,1,0,0,5348121670,170236,
58400,0,1,0,0,5366468571,170820,
58500,0,1,0,0,5384846888,171405,
58600,0,1,0,0,5403256621,171991,
58700,0,1,0,0,5421697770,172578,
58800,0,1,0,0,5440170335,173166,
58900,0,1,0,0,5458674315,173755,
59000,0,1,0,0,5477209712,174345,
59100,0,1,0,0,5495776524,174936,
59200,0,1,0,0,5514374753,175528,
59300,0,1,0,0,5533004397,176121,
59400,0,1,0,0,5551665458,176715,
59500,0,1,0,0,5570357934,177310,
59600,0,1,0,0,5589081826,177906,
59700,0,1,0,0,5607837134,178503,
59800,0,1,0,0,5626623859,179101,
59900,0,1,0,0,5645441999,179700,
60000,0,1,0,0,5664291554,180300,
60100,0,1,0,0,5683172526,180901,
60200,0,1,0,0,5702084914,181503,
60300,0,1,0,0,5721028718,182106,
60400,0,1,0,0,5740003937,182710,
60500,0,1,0,0,5759010573,183315,
60600,0,1,0,0,5778048624,183921,
60700,0,1,0,0,5797118092,184528,
60800,0,1,0,0,5816218975,185136,
60900,0,1,0,0,5835351274,185745,
61000,0,1,0,0,5854514990,186355,
61100,0,1,0,0,5873710121,186966,
61200,0,1,0,0,5892936668,187578,
61300,0,1,0,0,5912194631,188191,
61400,0,1,0,0,5931484010,188805,
61500,0,1,0,0,5950804804,189420,
61600,0,1,0,0,5970157015,190036,
61700,0,1,0,0,5989540642,190653,
61800,0,1,0,0,6008955684,191271,
61900,0,1,0,0,6028402143,191890,
62000,0,1,0,0,6047880017,192510,
62100,0,1,0,0,6067389308,193131,
62200,0,1,0,0,6086930014,193753,
62300,0,1,0,0,6106502136,194376,
62400,0,1,0,0,6126105675,195000,
62500,0,1,0,0,6145740629,195625,
62600,0,1,0,0,6165406999,196251,
62700,0,1,0,0,6185104785,196878,
62800,0,1,0,0,6204833986,197506,
62900,0,1,0,0,6224594604,198135,
63000,0,1,0,0,6244386638,198765,
63100,0,1,0,0,6264210088,199396,
63200,0,1,0,0,6284064953,200028,
63300,0,1,0,0,6303951235,200661,
63400,0,1,0,0,6323868932,201295,
63500,0,1,0,0,6343818045,201930,
63600,0,1,0,0,6363798575,202566,
63700,0,1,0,0,6383810520,203203,
63800,0,1,0,0,6403853881,203841,
63900,0,1,0,0,6423928658,204480,
64000,0,1,0,0,6444034851,205120,
64100,0,1,0,0,6464172460,205761,
64200,0,1,0,0,6484341485,206403,
64300,0,1,0,0,6504541926,207046,
64400,0,1,0,0,6524773782,207690,
64500,0,1,0,0,6545037055,208335,
64600,0,1,0,0,6565331743,208981,
64700,0,1,0,0,6585657848,209628,
64800,0,1,0,0,6606015368,210276,
64900,0,1,0,0,6626404305,210925,
65000,0,1,0,0,6646824657,211575,
65100,0,1,0,0,6667276425,212226,
65200,0,1,0,0,6687759609,212878,
65300,0,1,0,0,6708274209,213531,
65400,0,1,0,0,6728820225,214185,
65500,0,1,0,0,6749397657,214840,
65600,0,1,0,0,6770006505,215496,
65700,0,1,0,0,6790646769,216153,
65800,0,1,0,0,6811318448,216811,
65900,0,1,0,0,6832021544,217470,
66000,0,1,0,0,6852756055,218130,
66100,0,1,0,0,6873521983,218791,
66200,0,1,0,0,6894319326,219453,
66300,0,1,0,0,6915148085,220116,
66400,0,1,0,0,6936008261,220780,
66500,0,1,0,0,6956899852,221445,
66600,0,1,0,0,6977822859,222111,
66700,0,1,0,0,6998777282,222778,
66800,0,1,0,0,7019763121,223446,
66900,0,1,0,0,7040780376,224115,
67000,0,1,0,0,7061829046,224785,
67100,0,1,0,0,7082909133,225456,
67200,0,1,0,0,7104020636,226128,
67300,0,1,0,0,7125163554,226801,
